HomeTeam,AwayTeam,Kickoff
Belgium,New Zealand,Jun 27 03:00 UTC
Egypt,Iran,Jun 27 03:00 UTC
Cape Verde,Saudi Arabia,Jun 27 00:00 UTC
Spain,Uruguay,Jun 27 00:00 UTC
France,Norway,Jun 26 19:00 UTC
Senegal,Iraq,Jun 26 19:00 UTC
Algeria,Austria,Jun 28 02:00 UTC
Argentina,Jordan,Jun 28 02:00 UTC
Congo DR,Uzbekistan,Jun 27 23:30 UTC
Portugal,Colombia,Jun 27 23:30 UTC
Croatia,Ghana,Jun 27 21:00 UTC
England,Panama,Jun 27 21:00 UTC
Paraguay,Australia,Jun 26 02:00 UTC
United States,Turkey,Jun 26 02:00 UTC
Japan,Sweden,Jun 25 23:00 UTC
Netherlands,Tunisia,Jun 25 23:00 UTC
Curacao,Ivory Coast,Jun 25 20:00 UTC
Germany,Ecuador,Jun 25 20:00 UTC
Mexico,Czechia,Jun 25 01:00 UTC
South Africa,South Korea,Jun 25 01:00 UTC
Brazil,Scotland,Jun 24 22:00 UTC
Morocco,Haiti,Jun 24 22:00 UTC
Bosnia and Herzegovina,Qatar,Jun 24 19:00 UTC
Canada,Switzerland,Jun 24 19:00 UTC
France,Iraq,Jun 22 21:00 UTC
Senegal,Norway,Jun 23 00:00 UTC
Algeria,Jordan,Jun 23 03:00 UTC
Portugal,Uzbekistan,Jun 23 17:00 UTC
Congo DR,Colombia,Jun 24 02:00 UTC
England,Ghana,Jun 23 20:00 UTC
Croatia,Panama,Jun 23 23:00 UTC
Argentina,Austria,Jun 22 17:00 UTC
Egypt,New Zealand,Jun 22 01:00 UTC
Cape Verde,Uruguay,Jun 21 22:00 UTC
Belgium,Iran,Jun 21 19:00 UTC
Spain,Saudi Arabia,Jun 21 16:00 UTC
Japan,Tunisia,Jun 21 04:00 UTC
Curacao,Ecuador,Jun 21 00:00 UTC
Germany,Ivory Coast,Jun 20 20:00 UTC
Netherlands,Sweden,Jun 20 17:00 UTC
Paraguay,Turkey,Jun 20 03:00 UTC
Brazil,Haiti,Jun 20 00:30 UTC
Morocco,Scotland,Jun 19 22:00 UTC
United States,Australia,Jun 19 19:00 UTC
Mexico,South Korea,Jun 19 01:00 UTC
Canada,Qatar,Jun 18 22:00 UTC
Bosnia and Herzegovina,Switzerland,Jun 18 19:00 UTC
South Africa,Czechia,Jun 18 16:00 UTC
Uzbekistan,Colombia,Jun 18 02:00 UTC
Ghana,Panama,Jun 17 23:00 UTC
England,Croatia,Jun 17 20:00 UTC
Portugal,Congo DR,Jun 17 17:00 UTC
Austria,Jordan,Jun 17 04:00 UTC
Iraq,Norway,Jun 16 22:00 UTC
Argentina,Algeria,Jun 17 01:00 UTC
France,Senegal,Jun 16 19:00 UTC
Iran,New Zealand,Jun 16 01:00 UTC
Saudi Arabia,Uruguay,Jun 15 22:00 UTC
Belgium,Egypt,Jun 15 19:00 UTC
Sweden,Tunisia,Jun 15 02:00 UTC
Ivory Coast,Ecuador,Jun 14 23:00 UTC
Netherlands,Japan,Jun 14 20:00 UTC
Germany,Curacao,Jun 14 17:00 UTC
Australia,Turkey,Jun 14 04:00 UTC
Haiti,Scotland,Jun 14 01:00 UTC
Qatar,Switzerland,Jun 13 19:00 UTC
Brazil,Morocco,Jun 13 22:00 UTC
United States,Paraguay,Jun 13 01:00 UTC
